iter	Passed	Remaining
1507	28342	9246
1508	28359	9227
1509	28378	9208
1510	28396	9189
1511	28413	9170
1512	28431	9151
1513	28449	9132
1514	28467	9113
1515	28485	9094
1516	28504	9075
1517	28522	9056
1518	28542	9038
1519	28561	9019
1520	28580	9000
1521	28599	8981
1522	28618	8963
1523	28637	8944
1524	28655	8925
1525	28674	8906
1526	28691	8887
1527	28709	8868
1528	28728	8849
1529	28747	8830
1530	28767	8812
1531	28785	8793
1532	28802	8774
1533	28821	8755
1534	28838	8736
1535	28855	8716
1536	28874	8698
1537	28895	8679
1538	28914	8661
1539	28933	8642
1540	28952	8623
1541	28970	8604
1542	28987	8585
1543	29005	8566
1544	29022	8547
1545	29040	8528
1546	29058	8508
1547	29075	8489
1548	29093	8470
1549	29114	8452
1550	29133	8433
1551	29151	8414
1552	29169	8395
1553	29189	8377
1554	29209	8358
1555	29226	8339
1556	29243	8320
1557	29260	8301
1558	29279	8282
1559	29297	8263
1560	29316	8244
1561	29334	8225
1562	29352	8206
1563	29370	8187
1564	29389	8168
1565	29407	8149
1566	29425	8130
1567	29444	8112
1568	29461	8093
1569	29481	8074
1570	29501	8056
1571	29520	8037
1572	29537	8018
1573	29555	7999
1574	29573	7980
1575	29591	7961
1576	29611	7942
1577	29630	7923
1578	29648	7905
1579	29666	7885
1580	29683	7866
1581	29700	7847
1582	29718	7828
1583	29737	7809
1584	29755	7790
1585	29772	7771
1586	29790	7752
1587	29807	7733
1588	29825	7714
1589	29844	7695
1590	29861	7676
1591	29879	7657
1592	29897	7638
1593	29916	7619
1594	29934	7600
1595	29952	7582
1596	29971	7563
1597	29991	7544
1598	30009	7525
1599	30028	7507
1600	30047	7488
1601	30070	7470
1602	30088	7451
1603	30106	7432
1604	30125	7414
1605	30145	7395
1606	30163	7376
1607	30182	7358
1608	30202	7339
1609	30220	7320
1610	30241	7302
1611	30257	7282
1612	30274	7263
1613	30292	7244
1614	30308	7225
1615	30326	7206
1616	30346	7187
1617	30365	7169
1618	30383	7150
1619	30401	7131
1620	30420	7112
1621	30438	7093
1622	30457	7074
1623	30475	7055
1624	30493	7037
1625	30511	7018
1626	30530	6999
1627	30548	6980
1628	30568	6961
1629	30585	6942
1630	30604	6923
1631	30622	6905
1632	30641	6886
1633	30662	6868
1634	30680	6849
1635	30699	6830
1636	30717	6811
1637	30734	6792
1638	30754	6773
1639	30773	6755
1640	30790	6736
1641	30808	6717
1642	30828	6698
1643	30847	6679
1644	30865	6660
1645	30884	6642
1646	30902	6623
1647	30920	6604
